"","obs","pred"
"1",800,824.056
"2",3250,3308.41
"3",6815,7013.59
"4",12170,12957.4
"5",17430,19534.5
"6",10040,10623.7
"7",6000,6167.89
"8",5010,5112.71
"9",3630,3671.28
"10",2245,2260.96
"11",3875,3917.32
"12",3880,3925.05
"13",2820,2842.94
"14",2550,2568.74
"15",2520,2536.55
"16",2275,2287.09
"17",622,633.803
"18",554,555.278
"19",670,671.471
"20",810,811.621
"21",1477,1478.48
"22",3920,3917.53
"23",3618,3616.08
"24",1002,1003.28
"25",185,186.015
"26",248,249.258
"27",483,484.811
"28",1107,1108.99
"29",1527,1528.52
"30",1716,1717.35
"31",4528,4515.81
"32",7770,7731.36
"33",4820,4805.78
"34",5966,5942.25
"35",5635,5613.92
"36",3340,3336.63
"37",2935,2933.2
"38",3055,3052.47
"39",5409,5392.91
"40",3333,3329.4
"41",3133,3130.37
"42",3339,3334.83
"43",5256,5233.15
"44",4811,4793.81
"45",4522,4511.07
"46",4958,4944.82
"47",4187,4182.05
"48",4052,4047.87
"49",3952,3943
"50",3902,3892.82
"51",3444,3438.23
"52",5077,5058.49
"53",4879,4865.11
"54",4278,4267.52
"55",3945,3937.59
"56",3434,3428.66
"57",1835,1836.33
"58",2359,2358.92
"59",2748,2748.34
"60",2617,2617.4
