"age","fish","srv1"
2,6.42332e-05,0.0132177
3,0.000302007,0.0237626
4,0.0014187,0.0423589
5,0.00663706,0.0743993
6,0.0304643,0.12745
7,0.128746,0.209756
8,0.410009,0.325392
9,0.765709,0.467097
10,0.938912,0.614318
11,0.986354,0.743225
12,0.997067,0.840251
13,0.999375,0.905286
14,0.999867,0.945561
15,0.999972,0.96929
16,0.999994,0.982864
17,0.999999,0.990497
18,1,0.994748
19,1,0.997103
20,1,0.998404
21,1,0.999121
22,1,0.999516
23,1,0.999734
24,1,0.999853
25,1,0.999919
26,1,0.999956
27,1,0.999976
28,1,0.999987
29,1,0.999993
30,1,0.999996
31,1,0.999998
32,1,0.999999
33,1,0.999999
34,1,1
35,1,1
36,1,1
37,1,1
38,1,1
39,1,1
40,1,1
41,1,1
42,1,1
43,1,1
44,1,1
45,1,1
46,1,1
47,1,1
48,1,1
49,1,1
50,1,1
51,1,1
